bedrooms,beds,Price,n_person
1.0,2.0,60.0,2
1.0,1.0,106.0,2
1.0,1.0,135.0,2
1.0,1.0,75.0,2
1.0,1.0,55.0,1
2.0,2.0,240.0,4
2.0,2.0,179.0,3
2.0,2.0,250.0,4
1.0,1.0,,2
2.0,2.0,222.0,4
1.0,1.0,175.0,3
2.0,2.0,149.0,4
1.0,1.0,120.0,2
1.0,1.0,40.0,2
1.0,2.0,90.0,2
1.0,2.0,90.0,2
1.0,1.0,82.0,1
,2.0,109.0,4
1.0,1.0,115.0,2
1.0,2.0,42.0,2
1.0,1.0,99.0,2
1.0,,73.0,2
3.0,3.0,270.0,4
1.0,1.0,155.0,2
1.0,1.0,88.0,1
1.0,1.0,157.0,2
2.0,3.0,120.0,3
2.0,2.0,250.0,3
1.0,1.0,70.0,2
1.0,3.0,165.0,4
1.0,1.0,90.0,2
3.0,4.0,200.0,4
1.0,2.0,115.0,3
1.0,1.0,265.0,2
1.0,1.0,119.0,2
1.0,2.0,135.0,3
2.0,3.0,470.0,4
1.0,,122.0,2
2.0,2.0,385.0,4
1.0,1.0,211.0,2
2.0,2.0,,4
1.0,1.0,88.0,2
1.0,1.0,145.0,2
1.0,1.0,125.0,2
5.0,12.0,707.0,12
1.0,1.0,90.0,2
1.0,1.0,97.0,2
1.0,1.0,105.0,2
1.0,1.0,145.0,2
1.0,2.0,94.0,2
1.0,1.0,95.0,2
2.0,2.0,200.0,4
10.0,,707.0,16
1.0,1.0,125.0,2
1.0,1.0,95.0,2
1.0,1.0,220.0,2
1.0,6.0,232.0,4
4.0,4.0,220.0,4
1.0,1.0,65.0,2
3.0,3.0,395.0,4
1.0,1.0,200.0,2
4.0,4.0,245.0,4
2.0,3.0,328.0,3
1.0,1.0,120.0,2
1.0,1.0,182.0,2
1.0,1.0,119.0,2
1.0,1.0,280.0,2
1.0,1.0,85.0,2
1.0,1.0,119.0,2
1.0,1.0,110.0,2
1.0,1.0,145.0,3
3.0,5.0,310.0,4
1.0,1.0,113.0,2
2.0,2.0,,4
3.0,3.0,185.0,4
2.0,3.0,70.0,3
2.0,2.0,100.0,3
2.0,3.0,275.0,4
3.0,2.0,171.0,2
1.0,1.0,95.0,2
,1.0,100.0,2
3.0,3.0,120.0,5
3.0,5.0,299.0,4
2.0,3.0,131.0,3
2.0,3.0,600.0,4
2.0,3.0,275.0,4
1.0,2.0,120.0,4
1.0,1.0,145.0,4
2.0,1.0,159.0,4
1.0,1.0,200.0,2
3.0,3.0,180.0,4
1.0,1.0,100.0,2
2.0,2.0,140.0,4
2.0,2.0,345.0,4
3.0,5.0,200.0,7
,1.0,80.0,2
1.0,1.0,110.0,2
1.0,1.0,140.0,2
1.0,2.0,91.0,2
1.0,2.0,75.0,3
2.0,2.0,150.0,4
4.0,4.0,245.0,4
1.0,1.0,124.0,2
3.0,3.0,170.0,5
3.0,6.0,300.0,6
2.0,2.0,100.0,4
4.0,5.0,250.0,6
1.0,1.0,120.0,3
4.0,,295.0,4
1.0,1.0,52.0,2
,1.0,62.0,2
1.0,1.0,87.0,2
3.0,2.0,450.0,4
,1.0,76.0,2
3.0,3.0,100.0,5
,4.0,109.0,4
1.0,1.0,140.0,2
4.0,5.0,240.0,4
1.0,1.0,111.0,2
1.0,1.0,111.0,2
4.0,6.0,275.0,4
1.0,1.0,146.0,2
1.0,1.0,395.0,2
1.0,1.0,65.0,2
1.0,2.0,51.0,2
1.0,1.0,120.0,2
1.0,2.0,125.0,3
2.0,2.0,95.0,2
1.0,1.0,70.0,2
2.0,4.0,120.0,4
1.0,1.0,98.0,2
1.0,1.0,136.0,2
2.0,4.0,240.0,4
1.0,1.0,110.0,2
1.0,1.0,55.0,2
1.0,1.0,130.0,2
1.0,1.0,120.0,2
1.0,3.0,156.0,4
1.0,2.0,72.0,3
2.0,4.0,235.0,4
1.0,1.0,250.0,2
1.0,1.0,150.0,2
1.0,1.0,75.0,2
1.0,,81.0,2
2.0,2.0,150.0,4
1.0,1.0,99.0,1
3.0,3.0,399.0,4
10.0,24.0,843.0,16
2.0,2.0,125.0,4
2.0,2.0,199.0,4
1.0,1.0,103.0,2
1.0,1.0,136.0,2
1.0,1.0,60.0,1
2.0,2.0,165.0,4
1.0,3.0,173.0,4
1.0,2.0,110.0,2
1.0,1.0,100.0,4
1.0,2.0,325.0,4
3.0,5.0,225.0,6
2.0,2.0,180.0,2
1.0,,90.0,2
1.0,1.0,57.0,2
1.0,,250.0,2
1.0,1.0,109.0,2
4.0,6.0,250.0,6
